date, rtn
10/03/2012, -0.01%
10/04/2012, 0.24%
10/05/2012, -0.02%
10/08/2012, -0.15%
10/09/2012, -0.10%
10/10/2012, -0.34%
10/11/2012, 0.12%
10/12/2012, -0.09%
10/15/2012, 0.38%
10/16/2012, 0.16%
10/17/2012, 0.00%
10/18/2012, 0.06%
10/19/2012, -0.01%
10/22/2012, 0.30%
10/23/2012, -0.07%
10/24/2012, -0.13%
10/25/2012, 0.25%
10/26/2012, 0.02%
10/31/2012, 0.07%
11/01/2012, 0.72%
11/02/2012, 0.00%
11/05/2012, -0.06%
11/06/2012, -0.01%
11/07/2012, -0.01%
11/08/2012, -0.39%
11/09/2012, 0.10%
11/12/2012, -0.01%
11/13/2012, -0.25%
11/14/2012, -0.60%
11/15/2012, 0.18%
11/16/2012, 0.20%
11/19/2012, 0.67%
11/20/2012, -0.06%
11/21/2012, -0.01%
11/23/2012, -0.01%
11/26/2012, -0.01%
11/27/2012, -0.01%
11/28/2012, 0.06%
11/29/2012, -0.01%
11/30/2012, -0.01%
12/03/2012, -0.01%
12/04/2012, 0.02%
12/05/2012, 0.14%
12/06/2012, 0.23%
12/07/2012, 0.00%
12/10/2012, 0.02%
12/11/2012, 0.00%
12/12/2012, 0.00%
12/13/2012, -0.13%
12/14/2012, -0.07%
12/17/2012, 0.51%
12/18/2012, 0.14%
12/19/2012, 0.00%
12/20/2012, 0.09%
12/21/2012, -0.01%
12/24/2012, -0.01%
12/26/2012, -0.01%
12/27/2012, -0.03%
12/28/2012, 0.00%
12/31/2012, 0.83%
01/02/2013, 0.42%
01/03/2013, -0.01%
01/04/2013, 0.00%
01/07/2013, -0.01%
01/10/2013, 0.13%
01/11/2013, 0.00%
1/14/2013, 0.00%
1/15/2013, 0.00%
1/16/2013, -0.01%
1/17/2013, 0.00%
1/18/2013, 0.00%
1/22/2013, 0.00%
1/23/2013, 0.00%
1/24/2013, 0.00%
1/25/2013, 0.00%
1/28/2013, -0.01%
1/29/2013, 0.18%
1/30/2013, 0.14%
1/31/2013, 0.00%
02/01/2013, 0.47%
02/04/2013, -0.21%
02/05/2013, 0.48%
02/06/2013, 0.00%
02/07/2013, 0.00%
02/08/2013, 0.11%
02/11/2013, -0.01%
02/12/2013, -0.01%
2/13/2013, 0.00%
2/14/2013, -0.12%
2/15/2013, -0.01%
2/19/2013, 0.21%
2/20/2013, -0.01%
2/21/2013, -0.50%
2/22/2013, 0.44%
2/25/2013, -0.18%
2/26/2013, 0.66%
2/27/2013, 0.15%
2/28/2013, 0.01%
03/01/2013, 0.07%
03/04/2013, -0.01%
03/05/2013, 0.00%
03/06/2013, 0.00%
03/07/2013, -0.01%
03/08/2013, -0.01%
03/11/2013, -0.01%
03/12/2013, 0.00%
3/13/2013, 0.02%
3/14/2013, 0.06%
3/15/2013, 0.00%
3/18/2013, -0.22%
3/19/2013, -0.05%
3/20/2013, 0.08%
3/21/2013, -0.19%
3/22/2013, 0.39%
3/25/2013, -0.02%
3/26/2013, 0.51%
3/27/2013, 0.00%
3/28/2013, -0.01%
04/01/2013, 0.00%
04/02/2013, 0.20%
04/03/2013, -0.08%
04/04/2013, 0.69%
04/05/2013, -0.09%
04/08/2013, 0.14%
04/09/2013, 0.08%
04/10/2013, -0.01%
04/11/2013, 0.00%
04/12/2013, 0.00%
4/15/2013, -0.01%
4/16/2013, 1.13%
4/17/2013, -0.01%
4/18/2013, -0.30%
4/19/2013, 0.58%
4/22/2013, -0.01%
4/23/2013, -0.01%
4/24/2013, 0.00%
4/25/2013, 0.00%
4/26/2013, -0.04%
4/29/2013, -0.01%
4/30/2013, -0.01%
05/01/2013, -0.01%
05/02/2013, 0.26%
05/03/2013, 0.18%
05/06/2013, -0.01%
05/07/2013, 0.08%
05/08/2013, -0.01%
05/09/2013, -0.01%
05/10/2013, 0.00%
5/13/2013, -0.01%
5/14/2013, -0.01%
5/15/2013, -0.01%
5/16/2013, -0.01%
5/17/2013, 0.26%
5/20/2013, 0.00%
5/21/2013, 0.00%
5/22/2013, -0.09%
5/23/2013, -0.58%
5/24/2013, -0.15%
5/28/2013, 0.18%
5/29/2013, -0.15%
5/30/2013, 0.08%
5/31/2013, -0.22%
06/03/2013, 0.25%
06/04/2013, -0.11%
06/05/2013, -0.52%
06/06/2013, 0.36%
06/07/2013, 0.03%
06/10/2013, -0.20%
06/11/2013, -0.22%
06/12/2013, -0.17%
6/13/2013, 0.83%
6/14/2013, -0.22%
6/17/2013, 0.71%
6/18/2013, 0.24%
6/19/2013, -0.08%
6/20/2013, -1.28%
6/21/2013, 0.40%
6/24/2013, -0.38%
6/25/2013, 0.53%
6/26/2013, 0.15%
6/27/2013, -0.01%
6/28/2013, -0.02%
07/01/2013, 0.13%
07/02/2013, -0.09%
07/03/2013, 0.07%
07/05/2013, 0.12%
07/08/2013, 0.01%
07/09/2013, -0.01%
07/10/2013, -0.01%
07/11/2013, 0.58%
07/12/2013, -0.01%
7/15/2013, 0.00%
7/16/2013, 0.00%
7/17/2013, 0.06%
7/18/2013, 0.08%
7/19/2013, -0.01%
7/22/2013, 0.00%
7/23/2013, -0.01%
7/24/2013, -0.07%
7/25/2013, 0.00%
7/26/2013, 0.01%
7/29/2013, -0.01%
7/30/2013, 0.05%
7/31/2013, -0.02%
08/01/2013, 0.45%
08/02/2013, 0.12%
08/05/2013, 0.00%
08/06/2013, 0.00%
08/07/2013, -0.21%
08/08/2013, 0.13%
08/09/2013, -0.01%
08/12/2013, 0.12%
8/13/2013, 0.00%
8/14/2013, -0.01%
8/15/2013, -0.12%
8/16/2013, -0.13%
8/19/2013, -0.33%
8/20/2013, 0.20%
8/21/2013, -0.43%
8/22/2013, 0.89%
8/23/2013, 0.20%
8/26/2013, 0.00%
8/27/2013, -0.62%
8/28/2013, 0.12%
8/29/2013, 0.27%
8/30/2013, -0.41%
09/03/2013, 0.48%
09/04/2013, 0.09%
09/05/2013, -0.01%
09/06/2013, 0.00%
09/09/2013, 0.00%
09/10/2013, -0.01%
09/11/2013, -0.01%
09/12/2013, -0.01%
9/13/2013, 0.08%
9/16/2013, 0.00%
9/17/2013, 0.00%
9/18/2013, -0.01%
9/19/2013, 0.00%
9/20/2013, -0.11%
9/23/2013, -0.02%
9/24/2013, -0.05%
9/25/2013, -0.11%
9/26/2013, 0.19%
9/27/2013, -0.09%
9/30/2013, -0.16%
10/01/2013, 0.28%
10/02/2013, -0.01%
10/03/2013, 0.00%
10/04/2013, 0.14%
10/07/2013, 0.00%
10/08/2013, -0.20%
10/09/2013, 0.26%
10/10/2013, 0.37%
10/11/2013, 0.10%
10/14/2013, 0.00%
10/15/2013, 0.00%
10/16/2013, -0.01%
10/17/2013, 0.00%
10/18/2013, -0.01%
10/21/2013, -0.01%
10/22/2013, 0.00%
10/23/2013, -0.01%
10/24/2013, -0.02%
10/25/2013, 0.02%
10/28/2013, 0.00%
10/29/2013, 0.05%
10/30/2013, -0.01%
10/31/2013, -0.01%
11/01/2013, -0.25%
11/04/2013, 0.02%
11/05/2013, -0.01%
11/06/2013, -0.04%
11/07/2013, -0.12%
11/08/2013, 0.30%
11/11/2013, -0.05%
11/12/2013, 0.08%
11/13/2013, 0.00%
11/14/2013, 0.10%
11/15/2013, -0.01%
11/18/2013, -0.01%
11/19/2013, -0.05%
11/20/2013, -0.06%
11/21/2013, 0.44%
11/22/2013, 0.12%
11/25/2013, -0.01%
11/26/2013, -0.07%
11/27/2013, 0.00%
11/29/2013, 0.02%
12/02/2013, -0.20%
12/03/2013, -0.28%
12/04/2013, -0.12%
12/05/2013, -0.10%
12/06/2013, 0.66%
12/09/2013, -0.01%
12/10/2013, -0.01%
12/11/2013, -0.33%
12/12/2013, -0.22%
12/13/2013, -0.02%
12/16/2013, 0.26%
12/17/2013, -0.20%
12/18/2013, 0.40%
12/19/2013, -0.03%
12/20/2013, -0.04%
12/23/2013, 0.07%
12/24/2013, 0.00%
12/26/2013, 0.21%
12/27/2013, 0.15%
12/30/2013, 0.17%
12/31/2013, -0.01%
01/02/2014, -0.49%
01/03/2014, 0.11%
01/06/2014, -0.10%
01/07/2014, 0.38%
01/08/2014, -0.03%
01/09/2014, -0.05%
01/10/2014, 0.09%
1/13/2014, -0.01%
1/14/2014, 0.33%
1/15/2014, 0.00%
1/16/2014, -0.01%
1/17/2014, -0.01%
1/21/2014, 0.01%
1/22/2014, -0.01%
1/23/2014, 0.00%
1/24/2014, -0.16%
1/27/2014, -0.54%
1/28/2014, 0.13%
1/29/2014, -0.27%
1/30/2014, 0.87%
1/31/2014, -0.01%
02/03/2014, -0.83%
02/04/2014, 0.63%
02/05/2014, -0.03%
02/06/2014, 0.13%
02/07/2014, -0.01%
02/10/2014, 0.00%
02/11/2014, -0.01%
02/12/2014, -0.01%
2/13/2014, -0.01%
2/14/2014, -0.01%
2/18/2014, -0.01%
2/19/2014, -0.01%
2/20/2014, -0.05%
2/21/2014, -0.01%
2/24/2014, 0.31%
2/25/2014, -0.01%
2/26/2014, -0.06%
2/27/2014, 0.07%
2/28/2014, 0.00%
03/03/2014, -0.23%
03/04/2014, 0.48%
03/05/2014, -0.01%
03/06/2014, 0.24%
03/07/2014, 0.00%
03/10/2014, -0.02%
03/11/2014, -0.01%
03/12/2014, -0.09%
3/13/2014, -0.25%
3/14/2014, -0.11%
3/17/2014, 0.32%
3/18/2014, 0.12%
3/19/2014, -0.10%
3/20/2014, 0.01%
3/21/2014, -0.01%
3/24/2014, 0.05%
3/25/2014, 0.12%
3/26/2014, -0.06%
3/27/2014, 0.13%
3/28/2014, 0.20%
3/31/2014, 0.33%
04/01/2014, 0.55%
04/02/2014, -0.01%
04/03/2014, 0.00%
04/04/2014, -0.01%
04/07/2014, -0.34%
04/08/2014, -0.06%
04/09/2014, 0.38%
04/10/2014, -0.01%
04/11/2014, -0.28%
4/14/2014, 0.40%
4/15/2014, 0.07%
4/16/2014, 0.27%
4/17/2014, -0.01%
4/21/2014, 0.00%
4/22/2014, -0.01%
4/23/2014, -0.01%
4/24/2014, -0.06%
4/25/2014, -0.01%
4/28/2014, 0.05%
4/29/2014, 0.17%
4/30/2014, 0.00%
05/01/2014, 0.00%
05/02/2014, 0.00%
05/05/2014, -0.04%
05/06/2014, -0.14%
05/07/2014, 0.09%
05/08/2014, 0.00%
05/09/2014, 0.15%
05/12/2014, 0.15%
5/13/2014, -0.01%
5/14/2014, -0.01%
5/15/2014, -0.21%
5/16/2014, 0.16%
5/19/2014, 0.06%
5/20/2014, -0.01%
5/21/2014, 0.15%
5/22/2014, -0.01%
5/23/2014, -0.01%
5/27/2014, 0.00%
5/28/2014, -0.01%
5/29/2014, -0.01%
5/30/2014, -0.01%
06/02/2014, 0.00%
06/03/2014, -0.01%
06/04/2014, -0.01%
06/05/2014, 0.00%
